rayyan_key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-83177405,Collaborative Adaptive Rangeland Management Fosters Management-Science Partnerships,2018,,,Rangeland Ecology & Management,1550-7424,71,5,646-657,Wilmer H and Derner J D and Fernandez-Gimenez M E and Briske D D and Augustine D J and Porensky L M and Grp Carm Stakeholder,<Go to ISI>://WOS:000446859300014,,,,"Rangelands of the western Great Plains of North America are complex social-ecological systems where management objectives for livestock production, grassland bird conservation, and vegetation structure and composition converge. The Collaborative Adaptive Rangeland Management (CARM) experiment is a 10-year collaborative adaptive management (CAM) project initiated in 2012 that is aimed at fostering science-management partnerships and data-driven rangeland management through a participatory. multistakeholder approach. This study evaluates the decision-making process that emerged from the first 4 yr of CARM. Our objectives were to 1) document how diverse stakeholder experiences, epistemologies, and resulting knowledge contributed to the CARM project, 2) evaluate how coproduced knowledge informed management decision making through three grazing seasons, and 3) explore the implications of participation in the CARM project for rangeland stakeholders. We evaluated management decision making as representatives from government agencies and conservation non-governmental organizations, ranchers, and interdisciplinary researchers worked within the CARM experiment to 1) prioritize desired ecosystem services; 2) determine objectives; 3) set stocking rates, criteria for livestock movement among pastures, and vegetation treatments; and 4) select monitoring techniques that would inform decision making. For this paper, we analyzed meeting transcripts, interviews, and focus group data related to stakeholder group decision making. We find two key lessons from the CARM project. First, the CAM process makes visible, but does not reconcile differences between, stakeholder experiences and ways of knowing about complex rangeland systems. Second, social learning in CAM is contingent on the development of trust among stakeholder and researcher groups. We suggest future CAM efforts should 1) make direct efforts to share and acknowledge managers' different rangeland management experiences, epistemologies, and knowledge and 2) involve long-term research commitment in time and funding to social, as well as experimental, processes that promote trust building among stakeholders and researchers over time. Published by Elsevier Inc. on behalf of The Society for Range Management.","Wilmer, Hailey Derner, Justin D. Fernandez-Gimenez, Maria E. Briske, David D. Augustine, David J. Porensky, Lauren M. Augustine, David/0000-0003-3144-0466; Derner, Justin/0000-0001-8076-0736; Fernandez-Gimenez, Maria/0000-0001-9641-1434 1551-5028 | RAYYAN-INCLUSION: {""Philip""=>""Included""} | RAYYAN-LABELS: To check for next stage,Included for full-text screening | RAYYAN-EXCLUSION-REASONS: Not about scientific evidence use",10.1016/j.rama.2017.07.008,eppi-reviewer,,
rayyan-83177406,Entomological Society of America and Science Policy Engagement,2019,,,Annals of the Entomological Society of America,,112,2,62-70,Wiedenmann Robert N and Zalom Frank G and Cadwalader Erin L and Alleyne Marianne and Stelzig Chris J,http://0-search.ebscohost.com.catalogue.libraries.london.ac.uk/login.aspx?direct=true&db=a9h&AN=135201611&site=ehost-live,,,,"After years of not engaging in policy affecting entomology and entomologists, the Entomological Society of America (ESA) has developed a set of coordinated initiatives to have the Society and its members become engaged in science policy activities. From its beginnings as a mere commitment to development of a program, the ESA's science policy program has become robust and active, including engaging an advocacy firm to represent ESA and guide Society initiatives and training, and developing a Science Policy Fellows program with selected fellows representing all parts of the membership, to creating a 'tiered agenda', with priorities stated for key issues. Here, we recount some of the history of ESA's advocacy efforts and highlight the value of the ESA as an advocate, providing policy makers with timely and reputable evidence-based information, while developing engaged members to become future Society leaders. [ABSTRACT FROM AUTHOR] Copyright of Annals of the Entomological Society of America is the property of Oxford University Press / USA and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","Wiedenmann, Robert N 1; Email Address: rwieden@uark.edu Zalom, Frank G 2 Cadwalader, Erin L 3 Alleyne, Marianne 4 Stelzig, Chris J 5; Affiliation: 1: Department of Entomology, University of Arkansas, Fayetteville, AR 2: Department of Entomology and Nematology, University of California, Davis, CA 3: Lewis-Burke Associates LLC, Washington, DC 4: Department of Entomology, University of Illinois, Urbana, IL 5: Entomological Society of America, Annapolis, MD; Source Info: Mar2019, Vol. 112 Issue 2, p62; Subject Term: ENTOMOLOGISTS; Subject Term: ENTOMOLOGY; Subject Term: SCIENCE &amp; state; Author-Supplied Keyword: Grand Challenges; Author-Supplied Keyword: policy fellows; Author-Supplied Keyword: science advocacy; Company/Entity: ENTOMOLOGICAL Society of America Company/Entity: UNITED States. Environmental Protection Agency; NAICS/Industry Codes: 541690 Other Scientific and Technical Consulting Services; NAICS/Industry Codes: 924110 Administration of Air and Water Resource and Solid Waste Management Programs; Number of Pages: 9p; Document Type: Article; Full Text Word Count: 8597 | RAYYAN-INCLUSION: {""Philip""=>""Included""} | RAYYAN-LABELS: Full-text screening check,Full text - screening filter,Included for full-text screening | RAYYAN-EXCLUSION-REASONS: pdf not accessible online",10.1093/aesa/say060,eppi-reviewer;ENTOMOLOGISTS ENTOMOLOGY SCIENCE &;tate Grand Challenge;policy fellow;cience advocacy ENTOMOLOGICAL Society of America UNITED State;Environmental Protection Agency,,
rayyan-83177407,The need for transformative changes in the use of Indigenous knowledge along with science for environmental decision-making in the Arctic,2020,,,People and Nature,,2,3,544-556,Wheeler H C and Danielsen F and Fidel M and Hausner V and Horstkotte T and Johnson N and Lee O and Mukherjee N and Amos A and Ashthorn H and Ballari O and Behe C and Breton-Honeyman K and Retter G B and Buschman V and Jakobsen P and Johnson F and Lyberth B and Parrott J A and Pogodaev M and Sulyandziga R and Vronski N,<Go to ISI>://WOS:000647696100003,,,,"Recent attention to the role of Indigenous knowledge (IK) in environmental monitoring, research and decision-making is likely to attract new people to this field of work. Advancing the bringing together of IK and science in a way that is desirable to IK holders can lead to successful and inclusive research and decision-making. We used the Delphi technique with 18 expert participants who were IK holders or working closely with IK from across the Arctic to examine the drivers of progress and limitations to the use of IK along with science to inform decision-making related to wildlife, reindeer herding and the environment. We also used this technique to identify participants' experiences of scientists' misconceptions concerning IK. Participants had a strong focus on transformative change relating to the structure of institutions, politics, rights, involvement, power and agency over technical issues advancing or limiting progress (e.g. new technologies and language barriers). Participants identified two modes of desirable research: coproducing knowledge with scientists and autonomous Indigenous-led research. They highlighted the need for more collaborative and coproduction projects to allow further refinement of approaches and more funding to support autonomous, Indigenous-led research. Most misconceptions held by scientists concerning IK that were identified by participants related to the spatial, temporal and conceptual scope of IK, and the perceived need to validate IK using Western science. Our research highlights some of the issues that need to be addressed by all participants in research and decision-making involving IK and science. While exact approaches will need to be tailored to specific social-ecological contexts, consideration of these broader concerns revealed by our analysis are likely to be central to effective partnerships. A free Plain Language Summary can be found within the Supporting Information of this article. A free Plain Language Summary can be found within the Supporting Information of this article.","Wheeler, Helen C. Danielsen, Finn Fidel, Maryann Hausner, Vera Horstkotte, Tim Johnson, Noor Lee, Olivia Mukherjee, Nibedita Amos, Amy Ashthorn, Heather Ballari, Oystein Behe, Carolina Breton-Honeyman, Kaitlin Retter, Gunn-Britt Buschman, Victoria Jakobsen, Paviarak Johnson, Frank Lyberth, Bjarne Parrott, Jennifer A. Pogodaev, Mikhail Sulyandziga, Rodion Vronski, Nikita Mukherjee, Nibedita/B-2531-2010 Mukherjee, Nibedita/0000-0002-2970-1498; Behe, Carolina/0000-0002-8141-8550; Hausner, Vera Helene/0000-0001-9825-0419; Wheeler, Helen/0000-0002-9820-5818 2575-8314 | RAYYAN-INCLUSION: {""Philip""=>""Included""} | RAYYAN-LABELS: Full-text screening check,Included for full-text screening | RAYYAN-EXCLUSION-REASONS: Not about scientific evidence use",10.1002/pan3.10131,eppi-reviewer,,
rayyan-83177408,Increasing the uptake of ecological model results in policy decisions to improve biodiversity outcomes,2022,,,Environmental Modelling & Software,1364-8152,149,,,Weiskopf S R and Harmackova Z V and Johnson C G and Londono-Murcia M C and Miller B W and Myers B J. E and Pereira L and Arce-Plata M I and Blanchard J L and Ferrier S and Fulton E A and Harfoot M and Isbell F and Johnson J A and Mori A S and Weng E S and Rosa I M. D,<Go to ISI>://WOS:000787109500005,,,,"Models help decision-makers anticipate the consequences of policies for ecosystems and people; for instance, improving our ability to represent interactions between human activities and ecological systems is essential to identify pathways to meet the 2030 Sustainable Development Goals. However, use of modeling outputs in decision-making remains uncommon. We share insights from a multidisciplinary National Socio-Environmental Synthesis Center working group on technical, communication, and process-related factors that facilitate or hamper uptake of model results. We emphasize that it is not simply technical model improvements, but active and iterative stakeholder involvement that can lead to more impactful outcomes. In particular, trust-and relationship-building with decision-makers are key for knowledge-based decision making. In this respect, nurturing knowledge exchange on the interpersonal (e.g., through participatory processes) and institutional level (e.g., through science-policy interfaces across scales) represents a promising approach. To this end, we offer a generalized approach for linking modeling and decision-making.","Weiskopf, Sarah R. Harmackova, Zuzana, V Johnson, Ciara G. Londono-Murcia, Maria Cecilia Miller, Brian W. Myers, Bonnie J. E. Pereira, Laura Arce-Plata, Maria Isabel Blanchard, Julia L. Ferrier, Simon Fulton, Elizabeth A. Harfoot, Mike Isbell, Forest Johnson, Justin A. Mori, Akira S. Weng, Ensheng Rosa, Isabel M. D. Miller, Brian/0000-0003-1716-1161; Isbell, Forest/0000-0001-9689-769X; Weiskopf, Sarah/0000-0002-5933-8191 1873-6726 | RAYYAN-INCLUSION: {""Philip""=>""Included""} | RAYYAN-LABELS: For data extraction,Full-text screening check,Included for full-text screening | RAYYAN-EXCLUSION-REASONS: Not empirical (no primary data) | USER-NOTES: {""Philip""=>[""This paper is interesting, but there is no process used to collect information on the opinions of the stakeholders about barriers and facilitators to evidence use. As such, it doesn't meet criterion 9.""]}",10.1016/j.envsoft.2022.105318,eppi-reviewer,,
rayyan-83177409,Blueprints of Effective Biodiversity and Conservation Knowledge Products That Support Marine Policy,2017,,,Frontiers in Marine Science,,4,,,Weatherdon L V and Appeltans W and Bowles-Newark N and Brooks T M and Davis F E and Despot-Belmonte K and Fletcher S and Garilao C and Hilton-Taylor C and Hirsch T and Juffe-Bignoli D and Kaschner K and Kingston N and Malsch K and Regan E C and Kesner-Reyes K and Rose D C and Wetzel F T and Wilkinson T and Martin C S,<Go to ISI>://WOS:000457690600096,,,,"Biodiversity and conservation data are generally costly to collect, particularly in the marine realm. Hence, data collected for a given often scientific purpose are occasionally contributed toward secondary needs, such as policy implementation or other types of decision-making. However, while the quality and accessibility of marine biodiversity and conservation data have improved over the past decade, the ways in which these data can be used to develop and implement relevant management and conservation measures and actions are not always explicit. For this reason, there are a number of scientifically-sound datasets that are not used systematically to inform policy and decisions. Transforming these marine biodiversity and conservation datasets into knowledge products that convey the information required by policy- and decision-makers is an important step in strengthening knowledge exchange across the science-policy interface. Here, we identify seven characteristics of a selection of online biodiversity and conservation knowledge products that contribute to their ability to support policy- and decision-making in the marine realm (as measured by e.g., mentions in policy resolutions/decisions, or use for reporting under selected policy instruments; use in high-level screening for areas of biodiversity importance). These characteristics include: a clear policy mandate; established networks of collaborators; iterative co-design of a user-friendly interface; standardized, comprehensive and documented methods with quality assurance; consistent capacity and succession planning; accessible data and value-added products that are fit-for-purpose; and metrics of use collated and reported. The outcomes of this review are intended to: (a) support data creators/owners/providers in designing and curating biodiversity and conservation knowledge products that have greater influence, and hence impact, in policy- and decision-making, and (b) provide recommendations for how decision- and policy-makers can support the development, implementation, and sustainability of robust biodiversity and conservation knowledge products through the framing of marine policy and decision-making frameworks.","Weatherdon, Lauren V. Appeltans, Ward Bowles-Newark, Nadine Brooks, Thomas M. Davis, Frances E. Despot-Belmonte, Katherine Fletcher, Stephen Garilao, Cristina Hilton-Taylor, Craig Hirsch, Tim Juffe-Bignoli, Diego Kaschner, Kristin Kingston, Naomi Malsch, Kelly Regan, Eugenie C. Kesner-Reyes, Kathleen Rose, David C. Wetzel, Florian T. Wilkinson, Tim Martin, Corinne S. ; Martin, Corinne/G-9041-2011 Weatherdon, Lauren V./0000-0002-3989-027X; Rose, David/0000-0002-5249-9021; Hirsch, Tim/0000-0002-5015-5807; Fletcher, Stephen/0000-0003-1180-9844; Martin, Corinne/0000-0002-5428-2766; Kaschner, Kristin/0000-0002-4061-626X 2296-7745 | RAYYAN-INCLUSION: {""Philip""=>""Included""} | RAYYAN-LABELS: To check for next stage,Full-text screening check,Included for full-text screening | RAYYAN-EXCLUSION-REASONS: Not empirical (no primary data) | USER-NOTES: {""Philip""=>[""There's no process used to collect the views of stakeholders""]}",10.3389/fmars.2017.00096,eppi-reviewer,,
rayyan-83177410,EKLIPSE: engaging knowledge holders and networks for evidence-informed European policy on biodiversity and ecosystem services,2019,,,Evidence & Policy,1744-2648,15,2,253-264,Watt A and Ainsworth G and Balian E and Cojocaru G and Darbi M and Dicks L and Eggermont H and Furman E and Goudeseune L and Huybrecht P and Kelemen E and Koch F and Konstantinou Z and Livoreil B and Locher K and Lux A and Mehring M and Nesshoever C and Paloniemi R and Saarikoski H and Pinto I S and Vandewalle M and Varjopuro R and Varumo L and Wittmer H and Young J,<Go to ISI>://WOS:000471772800006,,,,"The aim of EKLIPSE is to develop a mechanism to inform European-scale policy on biodiversity and related environmental challenges. This paper considers two fundamental aspects of the decision-support mechanism being developed by EKLIPSE: 1) the engagement of relevant actors from science, policy and society to jointly identify evidence for decision making; and 2) the networking of scientists and other holders of knowledge on biodiversity and other relevant evidence. The mechanism being developed has the potential not only to build communities of knowledge holders but to build informal networks among those with similar interests in evidence, be they those that seek to use evidence or those who are building evidence, or both. EKLIPSE has been successful in linking these people and in contributing to building informal networks of requesters of evidence, and experts of evidence and its synthesis. We have yet to see, however, significant engagement of formal networks of knowledge holders. Future success, however, relies on the continued involvement with and engagement of networks, a high degree of transparency within the processes and a high flexibility of structures to adapt to different requirements that arise with the broad range of requests to and activities of EKLIPSE.","Watt, Allan Ainsworth, Gill Balian, Estelle Cojocaru, George Darbi, Marianne Dicks, Lynn Eggermont, Hilde Furman, Eeva Goudeseune, Lise Huybrecht, Pierre Kelemen, Eszter Koch, Florian Konstantinou, Zoi Livoreil, Barbara Locher, Karla Lux, Alexandra Mehring, Marion Nesshoever, Carsten Paloniemi, Riikka Saarikoski, Heti Pinto, Isabel Sousa Vandewalle, Marie Varjopuro, Riku Varumo, Liisa Wittmer, Heidi Young, Juliette Pinto, Isabel Sousa/W-1591-2019; Wittmer, Heidi/H-7264-2012; Dicks, Lynn/AFH-5289-2022; Young, Juliette/B-4225-2012; Koch, Florian/F-2504-2015; Ainsworth, Gill/P-3013-2019 Pinto, Isabel Sousa/0000-0002-9231-0553; Wittmer, Heidi/0000-0001-6966-7258; Young, Juliette/0000-0002-8522-0883; Koch, Florian/0000-0002-0343-0730; Ainsworth, Gill/0000-0003-0460-6563; Goudeseune, Lise/0000-0002-4239-3338; Lux, Alexandra/0000-0002-6626-7977; Vandewalle, Marie/0000-0003-3619-9763; Cojocaru, George/0000-0002-1432-364X; Dicks, Lynn/0000-0002-8304-4468 1744-2656 | RAYYAN-INCLUSION: {""Philip""=>""Included""} | RAYYAN-LABELS: Full-text screening check,Included for full-text screening | RAYYAN-EXCLUSION-REASONS: Not about factors that influence evidence use | USER-NOTES: {""Philip""=>[""The study isn't about factors that influence evidence use""]}",10.1332/174426418x15314036194114,eppi-reviewer,,
rayyan-83177411,Characteristics of participatory monitoring projects and their relationship to decision-making in biological resource management: a review,2016,,,Biodiversity and Conservation,0960-3115,25,11,2001-2019,Villasenor E and Porter-Bolland L and Escobar F and Guariguata M R and Moreno-Casasola P,<Go to ISI>://WOS:000382014400001,,,,"The main objective of participatory monitoring is to enable the local population, though lacking formal training, to participate in the systematic collection of information. Participatory monitoring has been increasingly adopted in recent decades as a way of devolving the power to make decisions about natural resource management from the government to more local institutions. However, participatory monitoring efforts are not always successful at translating the information obtained into management or conservation actions. Based on a review of the current literature, we selected 111 cases that applied participatory monitoring of biological resources, to determine the factors that influence the translation of information into decision-making for management. For this, we categorize the cases into two approaches based on their differences regarding conceptual lines: collaborative-learning and evidence-based, and then assessed which one is more successful in the use of information. According to the cases reviewed, information derived from the collaborative-learning approach was more often used in management decision-making. The use of information is also influenced by the degree of local decision-making power, meaning that in those cases where there are initiatives of decentralization for decision-making besides participatory monitoring, it is more possible that the information derived from monitoring is used to strengthen the local initiatives of management and conservation.","Villasenor, Emma Porter-Bolland, Luciana Escobar, Federico Guariguata, Manuel R. Moreno-Casasola, Patricia VILLASEÑOR, EMMA/AAR-7143-2021; Escobar, Federico/C-1396-2011; Porter-Bolland, Luciana/C-1398-2016; Moreno-Casasola, Patricia/R-8562-2018; Bolland, Luciana Porter/AAH-4895-2020 Escobar, Federico/0000-0003-0179-7528; Porter-Bolland, Luciana/0000-0001-8586-3267; Moreno-Casasola, Patricia/0000-0003-0468-0851; Bolland, Luciana Porter/0000-0001-8586-3267 1572-9710 | RAYYAN-INCLUSION: {""Philip""=>""Included""} | RAYYAN-LABELS: To check for next stage,Full-text screening check,Included for full-text screening | RAYYAN-EXCLUSION-REASONS: Not empirical (no primary data)",10.1007/s10531-016-1184-9,eppi-reviewer,,
rayyan-83177413,What do scientists and managers know about soil biodiversity? Comparative knowledge mapping for sustainable forest management,2020,,,Forest Policy and Economics,1389-9341,119,,,Vanermen I and Muys B and Verheyen K and Vanwindekens F and Bouriaud L and Kardol P and Vranken L,<Go to ISI>://WOS:000568682900010,,,,"Soil biodiversity is crucial for maintaining forest health and safeguarding forest ecosystem services delivery, but it is under increasing human pressure. Forest management puts pressure on soil biodiversity, but has also the potential to support soil biodiversity recovery, depending on which decisions forest managers make. These decisions are highly influenced by managers' perception and understanding. Nevertheless, insights into forest managers' understanding of soils and their biodiversity are largely lacking. This paper addresses this gap by studying private and public forest managers' understanding of soil biodiversity and comparing their level of knowledge with scientists' knowledge. In addition, this paper assesses the effects of context on understanding by comparing between two regions (NW of Flanders, Belgium, and NE of Romania). Specifically, knowledge was elicited using semi-structured interviews based on an integrated framework. The interviews were coded and analyzed using a Fuzzy Cognitive Mapping approach. In total, 24 interviews were conducted after selecting respondents using a purposive sampling design. Our results indicate that forest managers are aware of the crucial role of soil biodiversity and possess practical and context-specific understanding, but lack in-depth knowledge related to ecosystem processes and functions and soil state variables, compared to scientists. In addition, managers did not seem to explicitly consider soil biodiversity in their management decisions, but instead seemed to treat soil more as a black box. While scientists had a more detailed understanding, their understanding also depended on their background as researchers and mostly overlooked practical, site-specific implications. Moreover, we found that local context influenced respondents' understanding, especially related to drivers and pressures that affect soil biodiversity. Hence, communication strategies oriented towards forest managers seem suitable to maximize adoption of adaptive management practices that support soil biodiversity. These strategies should go beyond awareness raising and specifically explain ecosystem processes and functions linked to forest soil biodiversity to improve managers' in-depth understanding, while taking their socio-economic and forestry context into account. Further, policy design should enhance conditions for knowledge exchange and discussion about soil biodiversity. The methodology presented in this study might help such knowledge integration of scientists and forest managers in order to combine in-depth understanding of soil biodiversity and applicability of management practices in specific forest contexts.","Vanermen, Iris Muys, Bart Verheyen, Kris Vanwindekens, Frederic Bouriaud, Laura Kardol, Paul Vranken, Liesbet Kardol, Paul/N-8383-2015; Vranken, Liesbet/Q-1710-2018; BITOUN, RACHEL/AAC-9538-2021; Muys, Bart/A-3194-2015 Kardol, Paul/0000-0001-7065-3435; Vranken, Liesbet/0000-0003-1170-1139; Muys, Bart/0000-0001-9421-527X; Vanwindekens, Frederic/0000-0002-9117-7543 1872-7050 | RAYYAN-INCLUSION: {""Philip""=>""Included""} | RAYYAN-LABELS: To check for next stage,Full-text screening check,Included for full-text screening | RAYYAN-EXCLUSION-REASONS: Not about Evidence use",10.1016/j.forpol.2020.102264,eppi-reviewer,,
rayyan-83177414,A question of dissemination: Assessing the practices and implications of research in tropical landscapes,2019,,,AMBIO - A Journal of the Human Environment,,48,1,35-47,Toomey Anne H and Alvaro María Eugenia Copa and Aiello-Lammens Matthew and Loayza Cossio and Oscar and Barlow Jos,http://0-search.ebscohost.com.catalogue.libraries.london.ac.uk/login.aspx?direct=true&db=a9h&AN=133611999&site=ehost-live,,,,"Current debates in the conservation sciences argue for better integration between research and practice, often citing the importance of the diffusion, dissemination and implementation of scientific knowledge for environmental management and policy. This paper focuses on a relatively well-researched protected area (Madidi National Park) in Bolivia in order to present different interpretations and understandings of the implications and availability of research findings. We draw on findings from quantitative and qualitative methods to determine the extent to which research carried out in the region was disseminated and/or implemented for management actions, and to understand subsequent implications for how local actors perceive the value of research and its role in management and conservation. We discuss the critical consequences of these findings for the future of conservation science and practice in biologically and culturally diverse landscapes, with an explicit call to action for academic institutions to support researchers in developing appropriate dissemination strategies. [ABSTRACT FROM AUTHOR] Copyright of AMBIO - A Journal of the Human Environment is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","Toomey, Anne H. 1; Email Address: atoomey@pace.edu Alvaro, María Eugenia Copa 2 Aiello-Lammens, Matthew 1 Loayza Cossio, Oscar 3 Barlow, Jos 4; Affiliation: 1: Department of Environmental Studies and Science, Pace University, 41 Park Row, #721B, 10038, New York, NY, USA 2: Colección Boliviana de Fauna, Calle 26 de Cota Cota (Ovidio Suárez) Casilla Nº 8706, La Paz, Bolivia 3: Madidi-Tambopata Landscape Conservation Program, Wildlife Conservation Society, Casilla 3-35 181 SM, La Paz, Bolivia 4: Lancaster Environment Centre, Lancaster University, LA1 4YQ, Bailrigg, Lancashire, UK; Source Info: Jan2019, Vol. 48 Issue 1, p35; Subject Term: SCIENTIFIC knowledge; Subject Term: CONSERVATIONISTS; Subject Term: ENVIRONMENTAL management; Subject Term: UNIVERSITIES &amp; colleges; Subject Term: PARQUE Nacional Madidi (Bolivia); Author-Supplied Keyword: Conservation management; Author-Supplied Keyword: Knowledge exchange; Author-Supplied Keyword: Local perceptions; Author-Supplied Keyword: Research ethics; Author-Supplied Keyword: Research-action; Author-Supplied Keyword: Research-implementation; NAICS/Industry Codes: 611310 Colleges, Universities, and Professional Schools; Number of Pages: 13p; Document Type: Article; Full Text Word Count: 7345 | RAYYAN-INCLUSION: {""Philip""=>""Included""} | RAYYAN-LABELS: For data extraction,Full-text screening check,Included for full-text screening",10.1007/s13280-018-1056-5,eppi-reviewer;SCIENTIFIC knowledge CONSERVATIONISTS ENVIRONMENTAL management UNIVERSITIES & college;PARQUE Nacional Madidi (Bolivia) Con;ervation management Knowledge exchange Local perception;Re;earch ethic;earch-action Re;earch-implementation,,
rayyan-83177415,lEvaluating the outcomes and processes of a research-action partnership: The need for continuous reflective evaluation,2016,,,Bothalia,0006-8241,46,2,,Taylor C and Cockburn J and Rouget M and Ray-Mukherjee J and Mukherjee S and Slotow R and Roberts D and Boon R and O'Donoghue S and Douwes E,<Go to ISI>://WOS:000389715000011,,,,"Background: The KwaZulu-Natal Sandstone Sourveld (KZNSS) Research Programme is part of a collaborative, transdisciplinary research partnership between the University of KwaZuluNatal and the eThekwini Municipality (EM), aimed at bridging the science-policy-practice gap. The research programme focuses on generating knowledge and capacity to support local land-use planning, management and policy development related to biodiversity and climate change issues. Objectives: The objectives were (1) to describe how a continuous reflective evaluation approach helped to better understand the research programme and its outcomes; and (2) to assess research outputs and outcomes, relevance of outcomes to the requirements of EM, and participants' perceptions of the programme (both the outcomes and the process). Methods: The evaluation took a mixed methods approach, combining various quantitative and qualitative methods such as anonymous individual questionnaires, reflective exercises and group reflections. Results: The KZNSS programme was successful in capacity building and establishing a longterm partnership, but had lower scientific publication output and practice uptake than expected. Participants' perceptions changed over time, with a decrease in the perceived success of addressing tangible research outcomes, and an increase in the perceived success of collaborative relationships in the partnership. Conclusion: Transdisciplinary partnerships can be a means of integrating research into policy and practice through knowledge exchange. An important lesson in the early stages of this partnership was to pay attention to the process and not only the outputs. The study highlights the importance of continuous participatory reflection and evaluation in such partnerships.","Taylor, Chantal Cockburn, Jessica Rouget, Mathieu Ray-Mukherjee, Jayanti Mukherjee, Shomen Slotow, Rob Roberts, Debra Boon, Richard O'Donoghue, Sean Douwes, Errol Slotow, Rob/AAM-9053-2020 2311-9284 Si | RAYYAN-INCLUSION: {""Philip""=>""Included""} | RAYYAN-LABELS: For data extraction,Full-text screening check,Included for full-text screening",10.4102/abc.v46i2.2154,eppi-reviewer,,
