category,subcategory,factor
Nature of evidence,Existence of scientific information,Existence of evidence
Nature of evidence,Accessibility,Accessibility of evidence
Nature of evidence,Accessibility,Format and language
Nature of evidence,Accessibility,Time lag
Nature of evidence,Accessibility,Quantity of information
Nature of evidence,Accessibility,Language barrier
Nature of evidence,Accessibility,Difficult to find
Nature of evidence,Relevance and applicability,Relevance
Nature of evidence,"Quality, credibility and legitimacy of evidence",Rigour
Nature of evidence,"Quality, credibility and legitimacy of evidence",Uncertainty
Nature of evidence,"Quality, credibility and legitimacy of evidence",Lack of uncertainty
Nature of evidence,"Quality, credibility and legitimacy of evidence",Inconclusive
Nature of evidence,"Quality, credibility and legitimacy of evidence",Source of evidence
Nature of evidence,"Quality, credibility and legitimacy of evidence",Spatial/temporal scale of evidence
Relationships,Academic-practitioner links and relationships,Scientist-actor relationships
Relationships,Relationship between colleagues,Relationships between colleagues
Decision context,Decision maker  ,Decision-maker characteristics
Decision context,Nature of decision or issue  ,Nature of decision
Decision context,"Social, political and economic context","Social, political, and economic context"
Decision context,Implementation capacity,Implementation capacity
Decision context,Implementation capacity,Timeliness of evidence
Researcher and research organizations,Attitude towards research use,Researcher attitude towards evidence use
Researcher and research organizations,Skills and awareness,Researcher skills and awareness
Researcher and research organizations,Academic demands of researchers,Academic demands on researchers
Researcher and research organizations,Culture of researchers ,Culture of researchers
Practitioner/policymaker,Attitude about research and research use,Practitioner/policmaker attitude towards evidence use
Practitioner/policymaker,Skills,Practitioner/policymaker research skills
Practitioner/policymaker,Personal characteristics,Practitioner/policymaker personal characteristics
Practitioner/policymaker,Management decision process and behavior,Practitioner/policymaker decision process
Practitioner/policymaker,Culture of practitioners ,Culture of practitioner/policymakers
Practitioner/policymaker,Awareness,Practitioner/policymaker awareness of evidence
Management organization,"Capacity, resources and finance",Capacity and resources
Management organization,"Organizational internal management, structure and process",Management
Management organization,Organizational culture ,Organizational culture
Characteristics of other stakeholders,"Stakeholders’ attitude, values and beliefs",Other stakeholder values and beliefs
Relationships,Practitioner-stakeholder relationships,Practitioner/policymaker-stakeholder relationships
