"","year","category","n_studies","cum_studies"
"1",2002,"Characteristics of evidence",1,1
"2",2002,"Decision-maker characteristics,
organisations, and decisions",1,1
"3",2002,"Relationships",1,1
"4",2002,"Researcher &
research organisations",0,0
"5",2003,"Characteristics of evidence",0,1
"6",2003,"Decision-maker characteristics,
organisations, and decisions",0,1
"7",2003,"Relationships",0,1
"8",2003,"Researcher &
research organisations",0,0
"9",2004,"Characteristics of evidence",1,2
"10",2004,"Decision-maker characteristics,
organisations, and decisions",1,2
"11",2004,"Relationships",1,2
"12",2004,"Researcher &
research organisations",0,0
"13",2005,"Characteristics of evidence",1,3
"14",2005,"Decision-maker characteristics,
organisations, and decisions",1,3
"15",2005,"Relationships",0,2
"16",2005,"Researcher &
research organisations",0,0
"17",2006,"Characteristics of evidence",0,3
"18",2006,"Decision-maker characteristics,
organisations, and decisions",0,3
"19",2006,"Relationships",0,2
"20",2006,"Researcher &
research organisations",0,0
"21",2007,"Characteristics of evidence",0,3
"22",2007,"Decision-maker characteristics,
organisations, and decisions",0,3
"23",2007,"Relationships",0,2
"24",2007,"Researcher &
research organisations",0,0
"25",2008,"Characteristics of evidence",3,6
"26",2008,"Decision-maker characteristics,
organisations, and decisions",3,6
"27",2008,"Relationships",1,3
"28",2008,"Researcher &
research organisations",1,1
"29",2009,"Characteristics of evidence",0,6
"30",2009,"Decision-maker characteristics,
organisations, and decisions",0,6
"31",2009,"Relationships",0,3
"32",2009,"Researcher &
research organisations",0,1
"33",2010,"Characteristics of evidence",3,9
"34",2010,"Decision-maker characteristics,
organisations, and decisions",0,6
"35",2010,"Relationships",1,4
"36",2010,"Researcher &
research organisations",0,1
"37",2011,"Characteristics of evidence",3,12
"38",2011,"Decision-maker characteristics,
organisations, and decisions",3,9
"39",2011,"Relationships",3,7
"40",2011,"Researcher &
research organisations",0,1
"41",2012,"Characteristics of evidence",4,16
"42",2012,"Decision-maker characteristics,
organisations, and decisions",2,11
"43",2012,"Relationships",4,11
"44",2012,"Researcher &
research organisations",0,1
"45",2013,"Characteristics of evidence",6,22
"46",2013,"Decision-maker characteristics,
organisations, and decisions",3,14
"47",2013,"Relationships",4,15
"48",2013,"Researcher &
research organisations",0,1
"49",2014,"Characteristics of evidence",10,32
"50",2014,"Decision-maker characteristics,
organisations, and decisions",5,19
"51",2014,"Relationships",5,20
"52",2014,"Researcher &
research organisations",0,1
"53",2015,"Characteristics of evidence",5,37
"54",2015,"Decision-maker characteristics,
organisations, and decisions",8,27
"55",2015,"Relationships",4,24
"56",2015,"Researcher &
research organisations",2,3
"57",2016,"Characteristics of evidence",18,55
"58",2016,"Decision-maker characteristics,
organisations, and decisions",15,42
"59",2016,"Relationships",10,34
"60",2016,"Researcher &
research organisations",3,6
"61",2017,"Characteristics of evidence",11,66
"62",2017,"Decision-maker characteristics,
organisations, and decisions",11,53
"63",2017,"Relationships",7,41
"64",2017,"Researcher &
research organisations",2,8
"65",2018,"Characteristics of evidence",14,80
"66",2018,"Decision-maker characteristics,
organisations, and decisions",12,65
"67",2018,"Relationships",6,47
"68",2018,"Researcher &
research organisations",2,10
"69",2019,"Characteristics of evidence",14,94
"70",2019,"Decision-maker characteristics,
organisations, and decisions",14,79
"71",2019,"Relationships",11,58
"72",2019,"Researcher &
research organisations",2,12
"73",2020,"Characteristics of evidence",16,110
"74",2020,"Decision-maker characteristics,
organisations, and decisions",12,91
"75",2020,"Relationships",9,67
"76",2020,"Researcher &
research organisations",3,15
"77",2021,"Characteristics of evidence",13,123
"78",2021,"Decision-maker characteristics,
organisations, and decisions",12,103
"79",2021,"Relationships",7,74
"80",2021,"Researcher &
research organisations",3,18
"81",2022,"Characteristics of evidence",8,131
"82",2022,"Decision-maker characteristics,
organisations, and decisions",8,111
"83",2022,"Relationships",6,80
"84",2022,"Researcher &
research organisations",1,19
"85",2023,"Characteristics of evidence",7,138
"86",2023,"Decision-maker characteristics,
organisations, and decisions",7,118
"87",2023,"Relationships",4,84
"88",2023,"Researcher &
research organisations",1,20
"89",2024,"Characteristics of evidence",10,148
"90",2024,"Decision-maker characteristics,
organisations, and decisions",8,126
"91",2024,"Relationships",10,94
"92",2024,"Researcher &
research organisations",2,22
"93",2025,"Characteristics of evidence",0,148
"94",2025,"Decision-maker characteristics,
organisations, and decisions",1,127
"95",2025,"Relationships",1,95
"96",2025,"Researcher &
research organisations",0,22
