"location_std","n_studies","perc_studies","iso_a3_eh"
"United States",40,8.42105263157895,"USA"
"Australia",34,7.1578947368421,"AUS"
"Canada",28,5.89473684210526,"CAN"
"United Kingdom",24,5.05263157894737,"GBR"
"France",11,2.31578947368421,"FRA"
"New Zealand",10,2.10526315789474,"NZL"
"Spain",10,2.10526315789474,"ESP"
"Brazil",9,1.89473684210526,"BRA"
"Germany",9,1.89473684210526,"DEU"
"Netherlands",9,1.89473684210526,"NLD"
"South Africa",9,1.89473684210526,"ZAF"
"Colombia",7,1.47368421052632,"COL"
"Italy",7,1.47368421052632,"ITA"
"Sweden",7,1.47368421052632,"SWE"
"Argentina",6,1.26315789473684,"ARG"
"Finland",6,1.26315789473684,"FIN"
"Indonesia",6,1.26315789473684,"IDN"
"Mexico",6,1.26315789473684,"MEX"
"Poland",6,1.26315789473684,"POL"
"Belize",5,1.05263157894737,"BLZ"
"Denmark",5,1.05263157894737,"DNK"
"Ecuador",5,1.05263157894737,"ECU"
"Guatemala",5,1.05263157894737,"GTM"
"India",5,1.05263157894737,"IND"
"Kenya",5,1.05263157894737,"KEN"
"Norway",5,1.05263157894737,"NOR"
"Russia",5,1.05263157894737,"RUS"
"Switzerland",5,1.05263157894737,"CHE"
"Belgium",4,0.842105263157895,"BEL"
"Cameroon",4,0.842105263157895,"CMR"
"Costa Rica",4,0.842105263157895,"CRI"
"Peru",4,0.842105263157895,"PER"
"Romania",4,0.842105263157895,"ROU"
"Tanzania",4,0.842105263157895,"TZA"
"Vietnam",4,0.842105263157895,"VNM"
"Austria",3,0.631578947368421,"AUT"
"Bolivia",3,0.631578947368421,"BOL"
"Chile",3,0.631578947368421,"CHL"
"China",3,0.631578947368421,"CHN"
"Côte d'Ivoire",3,0.631578947368421,"CIV"
"Estonia",3,0.631578947368421,"EST"
"Ethiopia",3,0.631578947368421,"ETH"
"Greece",3,0.631578947368421,"GRC"
"Ireland",3,0.631578947368421,"IRL"
"Laos",3,0.631578947368421,"LAO"
"Madagascar",3,0.631578947368421,"MDG"
"Malaysia",3,0.631578947368421,"MYS"
"Mozambique",3,0.631578947368421,"MOZ"
"Myanmar",3,0.631578947368421,"MMR"
"Paraguay",3,0.631578947368421,"PRY"
"Portugal",3,0.631578947368421,"PRT"
"Republic of the Congo",3,0.631578947368421,"COG"
"Suriname",3,0.631578947368421,"SUR"
"Uganda",3,0.631578947368421,"UGA"
"Croatia",2,0.421052631578947,"HRV"
"Czech Republic",2,0.421052631578947,"CZE"
"Democratic Republic of the Congo",2,0.421052631578947,"COD"
"Georgia",2,0.421052631578947,"GEO"
"Ghana",2,0.421052631578947,"GHA"
"Guyana",2,0.421052631578947,"GUY"
"Hungary",2,0.421052631578947,"HUN"
"Israel",2,0.421052631578947,"ISR"
"Japan",2,0.421052631578947,"JPN"
"Lebanon",2,0.421052631578947,"LBN"
"Liberia",2,0.421052631578947,"LBR"
"Mongolia",2,0.421052631578947,"MNG"
"Nepal",2,0.421052631578947,"NPL"
"Nigeria",2,0.421052631578947,"NGA"
"Panama",2,0.421052631578947,"PAN"
"Papua New Guinea",2,0.421052631578947,"PNG"
"Solomon Islands",2,0.421052631578947,"SLB"
"South Korea",2,0.421052631578947,"KOR"
"Sri Lanka",2,0.421052631578947,"LKA"
"Trinidad and Tobago",2,0.421052631578947,"TTO"
"Turkey",2,0.421052631578947,"TUR"
"Ukraine",2,0.421052631578947,"UKR"
"Algeria",1,0.210526315789474,"DZA"
"Anguilla",1,0.210526315789474,"AIA"
"Antarctica",1,0.210526315789474,"ATA"
"Antigua and Barbuda",1,0.210526315789474,"ATG"
