"rayyan_key","government_statutory_body","academic_institution","other","not_detailed","ngo_non_profit"
"rayyan-83178000",1,0,0,0,0
"rayyan-83177408",0,1,0,0,0
"rayyan-83177414",1,1,1,0,0
"rayyan-83177415",0,0,0,1,0
"rayyan-83177416",1,1,0,0,1
"rayyan-83177418",1,1,1,0,1
"rayyan-83177421",1,0,0,0,1
"rayyan-83177422",0,1,0,0,0
"rayyan-83177423",0,0,0,0,1
"rayyan-83177435",1,0,1,0,0
"rayyan-83177440",1,1,1,0,1
"rayyan-83177449",1,0,0,0,0
"rayyan-83177457",1,0,1,0,1
"rayyan-83177458",1,0,0,0,0
"rayyan-83177462",1,1,0,0,0
"rayyan-83177470",0,0,0,1,0
"rayyan-83177488",1,0,0,0,0
"rayyan-83177713",1,1,0,0,0
"rayyan-83177991",0,0,0,1,0
"rayyan-153485131",1,1,1,0,1
"rayyan-153485180",1,1,1,0,1
"rayyan-153485295",1,1,1,0,1
"rayyan-153485431",1,0,0,0,0
"rayyan-153485453",0,1,0,0,1
"rayyan-153485643",0,0,0,1,0
"rayyan-153485833",1,0,0,0,0
"rayyan-153486288",1,1,0,0,0
"rayyan-153486399",1,1,0,0,1
"rayyan-153486477",1,1,1,0,0
"rayyan-153486661",1,1,1,0,1
"rayyan-153486695",0,0,1,0,0
"rayyan-153486753",1,0,1,0,1
"rayyan-153486972",0,1,0,0,0
"rayyan-153487561",1,1,0,0,1
"rayyan-153487686",1,0,0,0,0
"rayyan-83177478",0,0,1,0,0
"rayyan-83177550",1,1,0,0,0
"rayyan-83177565",0,0,0,1,0
"rayyan-83177582",1,0,0,0,0
"rayyan-83177615",1,1,1,0,0
"rayyan-83177646",0,0,1,0,0
"rayyan-83177648",1,0,0,0,0
"rayyan-83177651",1,0,0,0,0
"rayyan-83177670",1,0,0,0,0
"rayyan-83177688",1,1,1,0,0
"rayyan-83177772",1,0,0,0,0
"rayyan-83177554",1,0,0,0,1
"rayyan-83177705",1,1,0,0,1
"rayyan-83177773",1,0,0,0,0
"rayyan-83177815",0,1,0,0,0
"rayyan-83177834",1,0,1,0,0
"rayyan-83177869",1,0,0,0,0
"rayyan-83177910",1,0,1,0,0
"rayyan-83177922",0,1,0,0,0
"rayyan-83177923",0,1,0,0,0
"rayyan-83177931",1,0,0,0,0
"rayyan-83177940",1,1,1,0,1
"rayyan-83177962",1,0,0,0,0
"rayyan-153485154",1,1,1,0,1
"rayyan-153485211",1,0,1,0,1
"rayyan-153485299",0,0,1,0,0
"rayyan-153485304",1,1,1,0,1
"rayyan-153485317",0,0,0,1,0
"rayyan-153485355",1,1,1,0,1
"rayyan-153485396",1,1,0,0,0
"rayyan-153485474",1,1,1,0,1
"rayyan-153485582",1,1,1,0,0
"rayyan-153485667",1,0,1,0,1
"rayyan-153485748",1,1,1,0,1
"rayyan-153485761",0,1,0,0,0
"rayyan-153485846",0,0,1,0,0
"rayyan-153485896",1,0,0,0,0
"rayyan-153485979",0,1,0,0,0
"rayyan-153486006",1,0,1,0,1
"rayyan-153486034",1,0,0,0,0
"rayyan-153486042",1,1,0,0,0
"rayyan-153486347",0,0,1,0,0
"rayyan-153486356",1,1,1,0,1
"rayyan-153486395",0,0,1,0,0
"rayyan-153486398",1,1,0,0,1
"rayyan-153486448",1,1,1,0,1
"rayyan-153486476",1,0,0,0,1
"rayyan-153486487",1,1,1,0,0
"rayyan-153486507",1,0,1,0,0
"rayyan-153486508",1,1,0,0,0
"rayyan-153486538",1,0,0,0,0
"rayyan-153486558",1,0,0,0,0
"rayyan-153486568",1,1,0,0,1
"rayyan-153486571",1,0,1,0,1
"rayyan-153486587",0,1,0,0,0
"rayyan-153486591",1,1,0,0,1
"rayyan-153486598",1,0,0,0,1
"rayyan-153486600",1,0,0,0,1
"rayyan-153486624",0,0,0,0,1
"rayyan-153486656",0,0,1,0,0
"rayyan-153486818",1,0,0,0,0
"rayyan-153486824",1,0,0,0,1
"rayyan-153486837",1,0,0,0,0
"rayyan-153486872",0,0,0,1,0
"rayyan-153486928",1,1,0,0,1
"rayyan-153486962",1,0,0,0,1
"rayyan-153487005",1,1,0,0,0
"rayyan-153487012",0,1,0,0,0
"rayyan-153487052",1,1,0,0,0
"rayyan-153487101",1,1,1,0,1
"rayyan-153487109",1,0,0,0,1
"rayyan-153487130",1,1,1,0,1
"rayyan-153487185",1,1,0,0,0
"rayyan-153487268",0,0,0,1,0
"rayyan-153487445",1,0,0,0,0
"rayyan-153487515",1,0,0,0,0
"rayyan-153487658",1,1,0,0,1
"rayyan-153487667",1,1,0,0,0
"rayyan-153487781",1,0,0,0,0
"rayyan-153487982",0,0,0,0,1
"rayyan-153487798",1,0,0,0,0
"rayyan-153488456",1,0,0,0,1
"rayyan-153488831",1,1,0,0,0
"rayyan-153489149",0,0,0,0,1
"rayyan-153489501",1,0,1,0,1
"rayyan-153489779",1,1,0,0,0
"rayyan-153489787",1,1,0,0,1
"rayyan-153490435",0,0,1,0,0
"rayyan-153491400",1,0,0,0,0
"rayyan-153493115",1,0,0,0,0
"rayyan-153494735",0,0,1,0,0
"rayyan-164684149",1,0,0,0,0
"rayyan-164684214",1,1,1,0,0
"rayyan-164685016",1,0,1,0,0
"rayyan-164685619",1,0,0,0,0
"rayyan-164686118",1,1,1,0,1
"rayyan-164686270",1,1,0,0,1
"rayyan-164686805",1,1,1,0,1
"rayyan-164687209",1,0,0,0,0
"rayyan-164688908",1,1,0,0,0
"rayyan-164689311",1,0,1,0,1
"rayyan-164690320",0,0,0,1,0
"rayyan-164691307",1,0,0,0,1
"rayyan-164693437",0,0,0,1,0
"rayyan-153486350",0,0,1,0,0
"rayyan-83177768",1,0,0,0,0
"rayyan-83177562",1,1,0,0,0
"rayyan-83177652",1,1,1,0,1
"rayyan-83177669",1,1,0,0,1
"rayyan-83177749",0,1,0,0,0
"rayyan-83177919",1,0,0,0,0
"rayyan-153485175",1,0,1,0,1
"rayyan-153486790",1,1,0,0,1
"rayyan-153486863",0,1,0,0,0
"rayyan-153486874",1,1,0,0,1
"rayyan-153487541",0,1,0,0,0
"rayyan-153487944",0,0,0,1,0
"rayyan-153488205",1,0,0,0,0
"rayyan-153488643",0,1,1,0,1
"rayyan-153489354",1,0,0,0,1
"rayyan-153489474",0,0,0,1,0
"rayyan-153497509",1,0,1,0,1
"rayyan-153498990",0,0,0,1,0
"rayyan-153499092",1,1,1,0,1
"rayyan-164684141",1,1,0,0,0
"rayyan-164684840",1,1,1,0,1
"rayyan-153486809",1,0,0,0,0
"rayyan-164685236",0,0,0,1,0
"rayyan-164688113",0,0,1,0,0
"rayyan-164699118",1,1,1,0,1
"rayyan-164700304",1,1,1,0,1
